trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-92.32411547433513,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-103.99011814540376,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-184.9843642560359,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-29.209157824206017,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-70.63592658514877,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-111.3407217967022,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-106.49627989470743,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-151.4350801717583,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-161.80894931912601,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-58.0633894415588,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,16,-26.87157884256291,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-41.17251317926964,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-91.07441565071193,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,-50.730874024940995,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,3,-177.6981765990165,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,12,9.99912012784636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-10.837599863548476,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,10.542493963751776,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,-25.305747449077668,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,-10.841232513282339,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-36.97265606730481,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,15,-33.49910875724946,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,2,6.387144955324036,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-24.260916070353986,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,16,7.59875525854155,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,17,-26.38362107674852,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,13,13.062263089881727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,17,-25.663729358468043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,2,-108.54836765652378,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
10,True,"{'a': 0, 'e': 0}",20,9,-76.72663654600453,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
