trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,0,-130.96676050357365,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99600798934399148}",25,10,-9.878204180961577,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.99401796405393528}",20,0,-137.55214671743227,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.99203191483706066}",25,0,-131.50419343899196,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.99004983374916811}",20,2,-83.66007390976678,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.98807171286193052}",30,0,-84.58295710233472,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.98609754426286189}",20,0,-81.05107533916238,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.98412732005528514}",20,0,-80.20070187907696,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.98216103235830077}",20,0,-141.55871616094697,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.98019867330675525}",20,0,-97.40460157737047,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.97824023505121005}",25,0,-134.5318061980341,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.97628570975790929}",20,0,-91.64743984036103,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.97433508960874937}",25,0,-146.77144205590778,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.97238836680124685}",35,0,-180.42976027559934,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
