trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1}",45,0,-126.52493224901131,"{0: 28, 1: 4, 2: 12, 3: 1, 4: 0}",0
2,False,"{'a': 0.1, 'e': 1}",70,0,-356.322168228092,"{0: 37, 1: 9, 2: 19, 3: 2, 4: 3}",0
3,False,"{'a': 0.1, 'e': 1}",60,0,-189.42832644691356,"{0: 40, 1: 5, 2: 13, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 1}",25,0,-121.82075079941102,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 1}",45,0,-303.02887310486256,"{0: 24, 1: 3, 2: 12, 3: 2, 4: 4}",0
6,False,"{'a': 0.1, 'e': 1}",35,0,-124.84727905390854,"{0: 20, 1: 6, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 1}",35,0,-96.47032306393075,"{0: 23, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 1}",20,0,-83.77949602525709,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.1, 'e': 1}",20,0,-189.06252385301323,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
10,False,"{'a': 0.1, 'e': 1}",40,0,-147.22697590134746,"{0: 22, 1: 10, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 1}",50,0,-83.49651726718979,"{0: 32, 1: 13, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 1}",25,19,-2.085506090282075,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 1}",55,0,-208.27824689361873,"{0: 33, 1: 8, 2: 11, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 1}",50,0,-370.4827597167811,"{0: 22, 1: 7, 2: 14, 3: 3, 4: 4}",0
15,False,"{'a': 0.1, 'e': 1}",30,0,-143.2937251763113,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
16,False,"{'a': 0.1, 'e': 1}",35,0,-153.6315190293315,"{0: 20, 1: 3, 2: 10, 3: 1, 4: 1}",0
17,False,"{'a': 0.1, 'e': 1}",25,0,-117.61890561862418,"{0: 11, 1: 2, 2: 12, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 1}",30,0,-128.00700202329844,"{0: 15, 1: 2, 2: 12, 3: 1, 4: 0}",0
19,False,"{'a': 0.1, 'e': 1}",55,0,-265.20319493927497,"{0: 32, 1: 9, 2: 8, 3: 3, 4: 3}",0
20,False,"{'a': 0.1, 'e': 1}",40,0,-121.36034071913296,"{0: 23, 1: 7, 2: 9, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-104.66874534322287,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",45,0,-197.82803660118043,"{0: 27, 1: 4, 2: 11, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-48.89463374274733,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,0,-108.4633333114668,"{0: 25, 1: 4, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",40,0,-201.73689594065294,"{0: 20, 1: 5, 2: 12, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",65,0,-244.92994913653925,"{0: 40, 1: 7, 2: 14, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-41.54882558474509,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-112.57725462722958,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",60,0,-265.56243140238564,"{0: 34, 1: 10, 2: 12, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",50,0,-167.54269620489362,"{0: 32, 1: 4, 2: 12, 3: 1, 4: 1}",0
